NumOfProducts,Customers,ChurnRate,RetentionRate,ActiveRate,AverageProducts,AverageBalance,AverageRelationshipStrength,AveragePredictedRisk
1,5084,0.27714398111723054,0.7228560188827695,0.5041306058221873,1.0,98551.87061369,51.009854445318645,0.4259696653745218
2,4590,0.07581699346405228,0.9241830065359478,0.5328976034858388,2.0,51879.14581263617,65.71080610021787,0.18780273241530948
3,266,0.8270676691729323,0.17293233082706772,0.424812030075188,3.0,75458.32819548872,43.88421052631579,0.8218277824307197
4,60,1.0,0.0,0.48333333333333334,4.0,93733.135,41.46333333333334,0.8799688185457845
